gene	isoname	is_basic
OR4F5	OR4F5-202	1
OR4F5	OR4F5-201	1
OR4F29	OR4F29-201	1
OR4F16	OR4F16-201	1
SAMD11	SAMD11-203	0
SAMD11	SAMD11-204	0
SAMD11	SAMD11-202	1
SAMD11	SAMD11-212	1
SAMD11	SAMD11-216	1
SAMD11	SAMD11-211	1
SAMD11	SAMD11-215	1
SAMD11	SAMD11-210	1
SAMD11	SAMD11-214	1
SAMD11	SAMD11-217	1
SAMD11	SAMD11-213	1
SAMD11	SAMD11-201	0
SAMD11	SAMD11-205	0
NOC2L	NOC2L-201	1
KLHL17	KLHL17-201	1
KLHL17	KLHL17-205	1
PLEKHN1	PLEKHN1-203	1
PLEKHN1	PLEKHN1-201	1
PLEKHN1	PLEKHN1-202	1
PLEKHN1	PLEKHN1-205	0
PERM1	PERM1-201	1
PERM1	PERM1-202	1
HES4	HES4-202	1
HES4	HES4-201	1
HES4	HES4-204	1
ISG15	ISG15-202	1
ISG15	ISG15-201	0
ISG15	ISG15-203	1
AGRN	AGRN-201	1
AGRN	AGRN-208	1
AGRN	AGRN-209	0
AGRN	AGRN-210	0
RNF223	RNF223-201	1
C1orf159	C1orf159-204	1
C1orf159	C1orf159-205	1
C1orf159	C1orf159-202	1
C1orf159	C1orf159-201	1
C1orf159	C1orf159-207	0
C1orf159	C1orf159-209	0
C1orf159	C1orf159-215	0
C1orf159	C1orf159-208	0
C1orf159	C1orf159-206	0
C1orf159	C1orf159-217	0
TTLL10	TTLL10-203	1
TTLL10	TTLL10-202	1
TTLL10	TTLL10-208	0
TTLL10	TTLL10-201	1
TNFRSF18	TNFRSF18-201	1
TNFRSF18	TNFRSF18-203	1
TNFRSF18	TNFRSF18-204	1
TNFRSF18	TNFRSF18-202	1
TNFRSF4	TNFRSF4-201	1
SDF4	SDF4-202	1
SDF4	SDF4-208	1
SDF4	SDF4-201	1
SDF4	SDF4-203	0
B3GALT6	B3GALT6-201	1
C1QTNF12	C1QTNF12-201	1
UBE2J2	UBE2J2-202	1
UBE2J2	UBE2J2-201	1
UBE2J2	UBE2J2-204	1
UBE2J2	UBE2J2-203	1
UBE2J2	UBE2J2-205	1
UBE2J2	UBE2J2-207	0
UBE2J2	UBE2J2-220	0
UBE2J2	UBE2J2-206	0
UBE2J2	UBE2J2-218	0
UBE2J2	UBE2J2-216	0
SCNN1D	SCNN1D-205	1
SCNN1D	SCNN1D-202	1
SCNN1D	SCNN1D-206	1
SCNN1D	SCNN1D-208	0
SCNN1D	SCNN1D-201	1
SCNN1D	SCNN1D-203	0
ACAP3	ACAP3-202	1
ACAP3	ACAP3-201	1
PUSL1	PUSL1-201	1
PUSL1	PUSL1-203	0
INTS11	INTS11-249	1
INTS11	INTS11-250	1
INTS11	INTS11-248	1
INTS11	INTS11-247	1
INTS11	INTS11-208	1
INTS11	INTS11-202	1
INTS11	INTS11-204	1
INTS11	INTS11-203	1
INTS11	INTS11-209	1
INTS11	INTS11-207	0
INTS11	INTS11-230	0
INTS11	INTS11-235	0
INTS11	INTS11-237	0
INTS11	INTS11-205	1
INTS11	INTS11-246	0
INTS11	INTS11-224	0
CPTP	CPTP-201	1
CPTP	CPTP-203	0
TAS1R3	TAS1R3-201	1
DVL1	DVL1-202	1
DVL1	DVL1-201	1
DVL1	DVL1-204	1
DVL1	DVL1-206	0
DVL1	DVL1-205	0
MXRA8	MXRA8-202	1
MXRA8	MXRA8-201	1
MXRA8	MXRA8-203	1
MXRA8	MXRA8-209	1
AURKAIP1	AURKAIP1-203	1
AURKAIP1	AURKAIP1-202	1
AURKAIP1	AURKAIP1-201	1
AURKAIP1	AURKAIP1-204	1
CCNL2	CCNL2-201	1
CCNL2	CCNL2-203	1
CCNL2	CCNL2-202	1
CCNL2	CCNL2-219	0
MRPL20	MRPL20-201	1
MRPL20	MRPL20-205	0
MRPL20	MRPL20-203	1
ANKRD65	ANKRD65-204	1
ANKRD65	ANKRD65-201	1
ANKRD65	ANKRD65-205	1
ANKRD65	ANKRD65-203	1
ANKRD65	ANKRD65-202	1
TMEM88B	TMEM88B-201	1
VWA1	VWA1-204	0
VWA1	VWA1-201	1
VWA1	VWA1-203	1
VWA1	VWA1-202	0
ATAD3C	ATAD3C-201	1
ATAD3C	ATAD3C-202	0
ATAD3B	ATAD3B-206	1
ATAD3B	ATAD3B-201	1
ATAD3A	ATAD3A-203	1
ATAD3A	ATAD3A-202	1
ATAD3A	ATAD3A-207	1
