gene	appris_tag	isoname
OR4F5	appris_principal__1	OR4F5-201
OR4F29	appris_principal__1	OR4F29-201
OR4F16	appris_principal__1	OR4F16-201
SAMD11	appris_principal__2	SAMD11-202
NOC2L	appris_principal__1	NOC2L-201
KLHL17	appris_principal__1	KLHL17-201
PLEKHN1	appris_principal__3	PLEKHN1-203
PERM1	appris_principal__2	PERM1-202
HES4	appris_principal__3	HES4-201
ISG15	appris_principal__1	ISG15-203
AGRN	appris_principal__1	AGRN-201
RNF223	appris_principal__1	RNF223-201
C1orf159	appris_principal__1	C1orf159-205
C1orf159	appris_principal__1	C1orf159-201
TTLL10	appris_principal__1	TTLL10-203
TTLL10	appris_principal__1	TTLL10-202
TNFRSF18	appris_principal__3	TNFRSF18-203
TNFRSF4	appris_principal__1	TNFRSF4-201
SDF4	appris_principal__2	SDF4-208
B3GALT6	appris_principal__1	B3GALT6-201
C1QTNF12	appris_principal__1	C1QTNF12-201
UBE2J2	appris_principal__1	UBE2J2-202
UBE2J2	appris_principal__1	UBE2J2-203
SCNN1D	appris_principal__2	SCNN1D-205
ACAP3	appris_principal__1	ACAP3-202
PUSL1	appris_principal__1	PUSL1-201
INTS11	appris_principal__1	INTS11-208
CPTP	appris_principal__1	CPTP-201
TAS1R3	appris_principal__1	TAS1R3-201
DVL1	appris_principal__1	DVL1-201
MXRA8	appris_principal__1	MXRA8-201
AURKAIP1	appris_principal__1	AURKAIP1-203
AURKAIP1	appris_principal__1	AURKAIP1-202
AURKAIP1	appris_principal__1	AURKAIP1-201
AURKAIP1	appris_principal__1	AURKAIP1-204
CCNL2	appris_principal__1	CCNL2-201
MRPL20	appris_principal__1	MRPL20-201
ANKRD65	appris_principal__1	ANKRD65-205
ANKRD65	appris_principal__1	ANKRD65-203
TMEM88B	appris_principal__1	TMEM88B-201
VWA1	appris_principal__1	VWA1-203
ATAD3C	appris_principal__1	ATAD3C-201
ATAD3B	appris_principal__1	ATAD3B-206
ATAD3A	appris_principal__3	ATAD3A-202
TMEM240	appris_principal__1	TMEM240-201
TMEM240	appris_principal__1	TMEM240-202
SSU72	appris_principal__1	SSU72-201
FNDC10	appris_principal__1	FNDC10-201
MIB2	appris_principal__3	MIB2-219
MMP23B	appris_principal__1	MMP23B-201
CDK11B	appris_principal__4	CDK11B-204
